
    5, 3, 17, 13, 12
    7, 12, 17, 18, 19
    16, 10, 8, 12, 13
    8, 19, 6, 12, 2
    12, 11, 4, 6, 8
    20, 16, 17, 1, 19
    17, 1, 11, 19, 8
    20, 15, 12, 4, 5
    17, 20, 9, 16, 12
    14, 7, 11, 13, 2
    4, 8, 11, 19, 15
    8, 16, 19, 2, 4
    8, 18, 4, 20, 16
    17, 6, 12, 20, 18
    4, 19, 13, 10, 7
    5, 4, 20, 8, 7
    17, 7, 14, 10, 4
    3, 1, 10, 13, 17
    17, 19, 10, 3, 18
    8, 14, 12, 7, 4
    9, 12, 13, 2, 17
    20, 17, 9, 12, 2
    12, 20, 3, 1, 11
    19, 17, 20, 14, 10
    3, 19, 18, 14, 5
    9, 16, 6, 11, 20
    20, 8, 12, 17, 6
    5, 7, 6, 1, 3
    2, 20, 17, 10, 16
    4, 9, 17, 16, 13
    17, 20, 1, 16, 6
    8, 4, 2, 17, 20
    5, 6, 15, 12, 8
    2, 3, 20, 9, 12
    1, 16, 11, 13, 4
    19, 15, 1, 20, 13
    2, 11, 15, 20, 10
    12, 14, 18, 2, 5
    1, 19, 5, 2, 7
    11, 16, 1, 2, 13
    3, 20, 18, 11, 15
    14, 11, 10, 19, 1
    18, 6, 16, 3, 17
    3, 6, 2, 8, 11
    19, 3, 11, 10, 20
    7, 14, 5, 9, 15
    5, 4, 7, 2, 13
    3, 20, 10, 17, 15
    9, 20, 3, 13, 10
    1, 4, 5, 6, 20

